Bedrooms,Bathrooms,Furnishing,Area,Price,Locality,Parking,Power,Pool,Security
2,2,0,750.0,12000,Appa Junction,0,1,0,0
3,2,2,1241.0,30000,Gachibowli,0,1,0,0
2,2,2,1050.0,15000,Chanda Nagar,0,0,0,0
3,2,0,1433.0,28000,Miyapur,0,1,0,0
2,2,0,600.0,12000,Yellamma Banda,0,1,0,0
1,1,2,323.0,8000,Chanda Nagar,0,0,0,0
1,1,2,825.0,12000,Lingampally,0,0,0,0
3,2,2,1080.0,26000,Narayanguda,0,1,0,0
3,2,2,1196.0,30000,Gachibowli,1,0,0,0
2,2,2,1200.0,6000,KPHB Phase 1,0,0,0,0
3,3,2,1316.0,35000,Gachibowli,1,0,0,0
3,3,3,1335.0,40000,Sainikpuri,0,0,0,0
1,1,0,529.0,9500,Tarnaka,0,1,0,0
2,2,0,668.0,12000,Miyapur,0,1,0,0
2,2,3,900.0,23000,Kukatpally,0,1,0,0
2,2,0,900.0,8000,Sainikpuri,0,1,0,0
3,3,2,1526.0,33000,Gachibowli,0,1,0,0
2,2,2,1054.0,35000,Hi Tech City,0,0,0,0
3,2,2,1136.0,27000,Kokapet,0,0,0,0
2,2,0,750.0,15000,Deepthisri Nagar,0,0,0,0
3,3,2,975.0,5500,Nizampet,0,0,0,0
1,1,2,525.0,8000,Bandlaguda Jagir,0,0,0,0
2,2,2,968.0,13000,Bachupally,0,0,0,0
2,2,3,975.0,23000,Kondapur,0,1,0,0
2,2,2,825.0,11500,Madinaguda,0,0,0,0
3,3,2,1460.0,30000,Madhapur,0,0,0,0
2,2,2,668.0,15000,Sainikpuri,0,0,0,0
2,2,3,866.0,6000,Attapur,0,0,0,0
3,3,3,986.0,35000,Toli Chowki,0,0,0,0
1,1,1,520.0,7000,Saidabad,0,0,0,0
3,3,2,1350.0,18000,Kukatpally,0,0,0,0
3,3,2,1750.0,30000,Kondapur,1,0,0,0
1,1,0,450.0,6000,Karmanghat,0,1,0,0
3,2,2,1118.0,22000,Miyapur,0,1,0,0
1,1,0,525.0,6500,Kukatpally,0,1,0,0
3,2,2,1180.0,20000,Nagole,1,0,0,0
3,3,1,1125.0,15000,Rethibowli,0,0,0,0
3,3,2,1440.0,23000,Appa Junction,1,0,0,0
2,2,2,1125.0,20000,Narsingi,0,1,0,0
2,2,0,900.0,15000,Manikonda,0,1,0,0
3,2,3,975.0,45000,Banjara Hills,0,0,0,0
2,2,2,928.0,22000,Gachibowli,1,0,0,0
1,1,2,510.0,9000,Madhapur,0,1,0,0
2,2,3,900.0,27000,Madhapur,0,1,0,0
1,1,0,416.0,8500,Banjara Hills,0,1,0,0
3,3,2,1360.0,28000,Chanda Nagar,0,0,0,0
